,word,frequency,n_characters,romanized_form
身份,身份,2,7,shēnfèn
摩納哥,摩納哥,3,6,mónàgē
喬,喬,1,4,qiáo
影片,影片,2,8,yǐngpiān
任,任,1,3,rèn
主張,主張,2,8,zhǔzhāng
嫌疑人,嫌疑人,3,9,xiányírén
殺,殺,1,3,shā
客戶,客戶,2,4,kèhù
獲獎,獲獎,2,8,huòjiǎng
然後,然後,2,6,ránhòu
推出,推出,2,6,tuīchū
真實,真實,2,7,zhēnshí
哪,哪,1,2,nǎ
日常,日常,2,7,rìcháng
圖片,圖片,2,6,túpiàn
告誡,告誡,2,6,gàojiè
病人,病人,2,7,bìngrén
巨額,巨額,2,3,jùé
不過,不過,2,5,bùguò
太空,太空,2,7,tàikōng
達到,達到,2,5,dádào
困擾,困擾,2,6,kùnrǎo
更大,更大,2,6,gèngdà
市,市,1,3,shì
關閉,關閉,2,6,guānbì
重現,重現,2,9,zhòngxiàn
不多,不多,2,5,bùduō
簡直,簡直,2,7,jiǎnzhí
停運,停運,2,7,tíngyùn
指出,指出,2,6,zhǐchū
片場,片場,2,9,piànchǎng
醜聞,醜聞,2,7,chǒuwén
發電機,發電機,3,8,fādiànjī
差,差,1,3,chà
不管,不管,2,6,bùguǎn
團體,團體,2,6,tuántǐ
林肯,林肯,2,6,línkěn
謙遜,謙遜,2,7,qiānxùn
臉,臉,1,4,liǎn
政策,政策,2,7,zhèngcè
畢竟,畢竟,2,6,bìjìng
存活,存活,2,6,cúnhuó
引用,引用,2,7,yǐnyòng
選區,選區,2,6,xuǎnqū
基,基,1,2,jī
據稱,據稱,2,7,jùchēng
娛樂,娛樂,2,4,yúlè
比例,比例,2,4,bǐlì
大樓,大樓,2,5,dàlóu
不幸,不幸,2,6,bùxìng
相同,相同,2,9,xiāngtóng
長成,長成,2,10,zhǎngchéng
集團,集團,2,6,jítuán
然而,然而,2,5,ránér
品種,品種,2,8,pǐnzhǒng
材料,材料,2,7,cáiliào
關心,關心,2,7,guānxīn
國內,國內,2,6,guónèi
揭露,揭露,2,5,jiēlù
穿,穿,1,5,chuān
相比,相比,2,7,xiāngbǐ
一致,一致,2,5,yízhì
疼痛,疼痛,2,8,téngtòng
克萊恩,克萊恩,3,7,kèláiēn
完工,完工,2,7,wángōng
毀滅,毀滅,2,6,huǐmiè
局面,局面,2,6,júmiàn
戴,戴,1,3,dài
理事會,理事會,3,8,lǐshìhuì
代理人,代理人,3,8,dàilǐrén
指,指,1,3,zhǐ
乘客,乘客,2,7,chéngkè
事實,事實,2,6,shìshí
不可,不可,2,4,bùkě
中斷,中斷,2,9,zhōngduàn
乘坐,乘坐,2,8,chéngzuò
必,必,1,2,bì
避孕,避孕,2,5,bìyùn
講述,講述,2,8,jiǎngshù
好像,好像,2,8,hǎoxiàng
地圖,地圖,2,4,dìtú
審查,審查,2,7,shěnchá
正確,正確,2,8,zhèngquè
激素,激素,2,4,jīsù
瘋狂,瘋狂,2,9,fēngkuáng
打鬥,打鬥,2,5,dǎdòu
名人,名人,2,7,míngrén
修建,修建,2,7,xiūjiàn
顯而易見,顯而易見,4,12,xiǎnéryìjiàn
話,話,1,3,huà
面,面,1,4,miàn
旅程,旅程,2,7,lǚchéng
展現,展現,2,8,zhǎnxiàn
鬥志,鬥志,2,6,dòuzhì
周圍,周圍,2,7,zhōuwéi
聯合國,聯合國,3,9,liánhéguó
去除,去除,2,5,qùchú
科學家,科學家,3,8,kēxuéjiā
為期,為期,2,5,wèiqī
退,退,1,3,tuì
每人,每人,2,6,měirén
英格蘭,英格蘭,3,9,yīnggélán
碳,碳,1,3,tàn
聽證會,聽證會,3,12,tīngzhènghuì
省,省,1,5,shěng
規定,規定,2,7,guīdìng
達菲,達菲,2,5,dáfēi
細節,細節,2,5,xìjié
諾瑪,諾瑪,2,5,nuòmǎ
背後,背後,2,6,bèihòu
嚴格,嚴格,2,5,yángé
取消,取消,2,6,qǔxiāo
邁克爾,邁克爾,3,7,màikèěr
欺詐,欺詐,2,5,qīzhà
下面,下面,2,7,xiàmiàn
代理,代理,2,5,dàilǐ
說客,說客,2,6,shuōkè
直至,直至,2,6,zhízhì
哭泣,哭泣,2,4,kūqì
協定,協定,2,7,xiédìng
符合,符合,2,4,fúhé
目擊者,目擊者,3,7,mùjīzhě
教,教,1,4,jiào
廣播,廣播,2,7,guǎngbō
嘗試,嘗試,2,8,chángshì
不想,不想,2,7,bùxiǎng
罕見,罕見,2,7,hǎnjiàn
政黨,政黨,2,9,zhèngdǎng
醫生,醫生,2,7,yīshēng
忽視,忽視,2,5,hūshì
道德,道德,2,5,dàodé
提及,提及,2,4,tíjí
經過,經過,2,7,jīngguò
前進,前進,2,7,qiánjìn
保障,保障,2,8,bǎozhàng
分鐘,分鐘,2,8,fēnzhōng
場地,場地,2,7,chǎngdì
駁回,駁回,2,5,bóhuí
真正,真正,2,9,zhēnzhèng
噁心,噁心,2,4,ěxīn
確保,確保,2,6,quèbǎo
賺取,賺取,2,7,zhuànqǔ
超越,超越,2,7,chāoyuè
充滿,充滿,2,8,chōngmǎn
今天,今天,2,7,jīntiān
發生率,發生率,3,9,fāshēnglǜ
成長,成長,2,10,chéngzhǎng
巴西,巴西,2,4,bāxī
選項,選項,2,9,xuǎnxiàng
遺憾,遺憾,2,5,yíhàn
放,放,1,4,fàng
利益,利益,2,4,lìyì
不少,不少,2,6,bùshǎo
問,問,1,3,wèn
上午,上午,2,7,shàngwǔ
感覺,感覺,2,6,gǎnjué
社交,社交,2,7,shèjiāo
穿戴,穿戴,2,8,chuāndài
紅,紅,1,4,hóng
善良,善良,2,9,shànliáng
預算,預算,2,6,yùsuàn
年度,年度,2,6,niándù
致命,致命,2,7,zhìmìng
版本,版本,2,6,bǎnběn
控,控,1,4,kòng
仍舊,仍舊,2,7,réngjiù
情侶,情侶,2,6,qínglǚ
別人,別人,2,6,biérén
收到,收到,2,7,shōudào
博客,博客,2,4,bókè
顯然,顯然,2,7,xiǎnrán
開,開,1,3,kāi
南非,南非,2,6,nánfēi
止,止,1,3,zhǐ
隨時,隨時,2,6,suíshí
層面,層面,2,8,céngmiàn
礦物,礦物,2,7,kuàngwù
手術,手術,2,7,shǒushù
助理,助理,2,5,zhùlǐ
爭論,爭論,2,8,zhēnglùn
單元,單元,2,7,dānyuán
驚訝,驚訝,2,6,jīngyà
告知,告知,2,6,gàozhī
藝術性,藝術性,3,9,yìshùxìng
黨,黨,1,4,dǎng
即使,即使,2,5,jíshǐ
民主,民主,2,6,mínzhǔ
條款,條款,2,8,tiáokuǎn
奪回,奪回,2,6,duóhuí
添加,添加,2,7,tiānjiā
針對,針對,2,7,zhēnduì
圍繞,圍繞,2,6,wéirào
檢測,檢測,2,6,jiǎncè
白人,白人,2,6,báirén
養分,養分,2,7,yǎngfēn
見,見,1,4,jiàn
方,方,1,4,fāng
謂,謂,1,3,wèi
絕妙,絕妙,2,7,juémiào
意味,意味,2,5,yìwèi
方針,方針,2,8,fāngzhēn
指導,指導,2,6,zhǐdǎo
吸引力,吸引力,3,7,xīyǐnlì
本週,本週,2,7,běnzhōu
不論,不論,2,5,bùlùn
族裔,族裔,2,4,zúyì
位置,位置,2,6,wèizhì
債務,債務,2,6,zhàiwù
購買,購買,2,6,gòumǎi
血紅蛋白,血紅蛋白,4,13,xuèhóngdànbái
主義者,主義者,3,8,zhǔyìzhě
呼聲,呼聲,2,7,hūshēng
有力,有力,2,5,yǒulì
錄製,錄製,2,5,lùzhì
國防,國防,2,7,guófáng
殊榮,殊榮,2,7,shūróng
吉他手,吉他手,3,8,jítāshǒu
同年,同年,2,8,tóngnián
接收,接收,2,7,jiēshōu
生產,生產,2,9,shēngchǎn
時刻,時刻,2,5,shíkè
目的,目的,2,4,mùdì
火箭,火箭,2,7,huǒjiàn
網上,網上,2,9,wǎngshàng
醫療,醫療,2,6,yīliáo
種族,種族,2,7,zhǒngzú
差異,差異,2,5,chàyì
大麻,大麻,2,4,dàmá
機會,機會,2,5,jīhuì
意圖,意圖,2,4,yìtú
變遷,變遷,2,8,biànqiān
船員,船員,2,9,chuányuán
亦,亦,1,2,yì
歡迎,歡迎,2,8,huānyíng
空中,空中,2,9,kōngzhōng
訪問,訪問,2,7,fǎngwèn
穩步,穩步,2,5,wěnbù
因而,因而,2,5,yīnér
性別,性別,2,7,xìngbié
休息,休息,2,5,xiūxī
主席,主席,2,5,zhǔxí
大都會,大都會,3,7,dàdūhuì
蘇格蘭,蘇格蘭,3,7,sūgélán
形式,形式,2,7,xíngshì
環節,環節,2,7,huánjié
旅行,旅行,2,6,lǚxíng
飛行,飛行,2,7,fēixíng
猜測,猜測,2,5,cāicè
起源,起源,2,6,qǐyuán
可靠,可靠,2,5,kěkào
轉,轉,1,5,zhuǎn
注意,注意,2,5,zhùyì
更為,更為,2,7,gèngwèi
年級,年級,2,6,niánjí
席位,席位,2,5,xíwèi
登上,登上,2,9,dēngshàng
結果,結果,2,6,jiéguǒ
強,強,1,5,qiáng
認識,認識,2,6,rènshí
總部,總部,2,6,zǒngbù
群體,群體,2,5,qúntǐ
實驗,實驗,2,6,shíyàn
數字,數字,2,5,shùzì
安全部,安全部,3,8,ānquánbù
斯大林,斯大林,3,7,sīdàlín
阿巴庫莫夫,阿巴庫莫夫,5,9,ābākùmòfū
編劇,編劇,2,6,biānjù
去世,去世,2,5,qùshì
帆船,帆船,2,8,fānchuán
接替,接替,2,5,jiētì
獨木,獨木,2,4,dúmù
下達,下達,2,5,xiàdá
證實,證實,2,8,zhèngshí
水上,水上,2,9,shuǐshàng
瑪雅,瑪雅,2,4,mǎyǎ
舟,舟,1,4,zhōu
低地,低地,2,4,dīdì
湯普遜,湯普遜,3,9,tāngpǔxùn
烏夏克吞,烏夏克吞,4,10,wūxiàkètūn
貝登,貝登,2,7,bèidēng
組建,組建,2,6,zǔjiàn
承諾,承諾,2,8,chéngnuò
許下,許下,2,5,xǔxià
強力,強力,2,7,qiánglì
貝利亞,貝利亞,3,7,bèilìyà
海軍,海軍,2,6,hǎijūn
文本,文本,2,6,wénběn
訂單,訂單,2,7,dìngdān
圖像,圖像,2,7,túxiàng
平和,平和,2,6,pínghé
荒誕不經,荒誕不經,4,14,huāngdànbùjīng
墨菲,墨菲,2,5,mòfēi
曝,曝,1,2,pù
無效,無效,2,6,wúxiào
得票,得票,2,6,dépiào
威爾克斯,威爾克斯,4,9,wēiěrkèsī
格拉夫頓,格拉夫頓,4,9,gélāfūdùn
分裂,分裂,2,6,fēnliè
諾斯,諾斯,2,5,nuòsī
托利黨,托利黨,3,9,tuōlìdǎng
禍首,禍首,2,7,huòshǒu
罪魁,罪魁,2,6,zuìkuí
故障,故障,2,7,gùzhàng
電池,電池,2,7,diànchí
最初,最初,2,6,zuìchū
韓國,韓國,2,6,hánguó
感染,感染,2,6,gǎnrǎn
淪喪,淪喪,2,7,lúnsàng
倍,倍,1,3,bèi
王子,王子,2,6,wángzǐ
奇爾拉,奇爾拉,3,6,qíěrlā
斯特拉森,斯特拉森,4,9,sītèlāsēn
替代,替代,2,5,tìdài
琳達,琳達,2,5,líndá
仙踪,仙踪,2,8,xiānzōng
洛杉磯,洛杉磯,3,9,luòshānjī
分析家,分析家,3,8,fēnxījiā
戰時,戰時,2,7,zhànshí
人道,人道,2,6,réndào
電源,電源,2,8,diànyuán
很愛,很愛,2,5,hěnài
改用,改用,2,7,gǎiyòng
故鄉,故鄉,2,7,gùxiāng
巔峰,巔峰,2,8,diānfēng
一心一意,一心一意,4,9,yìxīnyíyì
綠野,綠野,2,4,lǜyě
音樂界,音樂界,3,8,yīnlèjiè
公告牌,公告牌,3,10,gōnggàopái
二百,二百,2,5,èrbǎi
組件,組件,2,6,zǔjiàn
上榜,上榜,2,9,shàngbǎng
解約,解約,2,6,jiěyuē
佩妮斯頓,佩妮斯頓,4,10,pèinīsīdùn
音樂劇,音樂劇,3,7,yīnlèjù
凱拉,凱拉,2,5,kǎilā
通姦,通姦,2,8,tōngjiān
休,休,1,3,xiū
娶,娶,1,2,qǔ
積分榜,積分榜,3,9,jīfēnbǎng
贏,贏,1,4,yíng
納斯卡,納斯卡,3,6,nàsīkǎ
溫斯頓杯,溫斯頓杯,4,11,wēnsīdùnbēi
該項,該項,2,8,gāixiàng
賽車手,賽車手,3,10,sàichēshǒu
相當,相當,2,9,xiāngdāng
音樂家,音樂家,3,8,yīnlèjiā
湯姆,湯姆,2,6,tāngmǔ
羅賓遜,羅賓遜,3,9,luóbīnxùn
翼,翼,1,2,yì
盜用輪,盜用輪,3,10,dàoyònglún
隊友,隊友,2,6,duìyǒu
艾根,艾根,2,5,àigēn
最開始,最開始,3,9,zuìkāishǐ
吉姆,吉姆,2,4,jímǔ
簽約,簽約,2,7,qiānyuē
迪卡,迪卡,2,4,díkǎ
遊蕩者,遊蕩者,3,10,yóudàngzhě
艾略特,艾略特,3,7,àilüètè
轉身,轉身,2,9,zhuǎnshēn
肯瑟斯,肯瑟斯,3,7,kěnsèsī
玫瑰,玫瑰,2,6,méiguī
寡婦,寡婦,2,5,guǎfù
安娜,安娜,2,4,ānnà
霍頓,霍頓,2,6,huòdùn
狂野,狂野,2,7,kuángyě
賣,賣,1,3,mài
此時,此時,2,5,cǐshí
奢華,奢華,2,6,shēhuá
常用,常用,2,9,chángyòng
台,台,1,3,tái
著火,著火,2,6,zhùhuǒ
鋼琴,鋼琴,2,7,gāngqín
奈特利,奈特利,3,7,nàitèlì
觀,觀,1,4,guān
裸體,裸體,2,5,luǒtǐ
出鏡,出鏡,2,7,chūjìng
聖路易,聖路易,3,9,shènglùyì
郵報,郵報,2,6,yóubào
最佳,最佳,2,6,zuìjiā
發佈,發佈,2,4,fābù
鋼材,鋼材,2,7,gāngcái
邪惡,邪惡,2,4,xiéè
追隨者,追隨者,3,10,zhuīsuízhě
倫敦塔,倫敦塔,3,8,lúndūntǎ
兒子,兒子,2,4,érzi
剛,剛,1,4,gāng
葛洛麗亞,葛洛麗亞,4,9,géluòlìyà
霍爾登,霍爾登,3,9,huòěrdēng
幢,幢,1,6,chuáng
愛,愛,1,2,ài
奧黛麗,奧黛麗,3,7,àodàilì
赫本,赫本,2,5,hèběn
龍鳳,龍鳳,2,8,lóngfèng
配,配,1,3,pèi
亨弗萊,亨弗萊,3,9,hēngfúlái
鮑嘉,鮑嘉,2,6,bàojiā
遊手好閒,遊手好閒,4,14,yóushǒuhǎoxián
花花公子,花花公子,4,12,huāhuāgōngzi
弟弟,弟弟,2,4,dìdì
週期,週期,2,6,zhōuqī
連任,連任,2,7,liánrèn
吉米,吉米,2,4,jímǐ
卡特,卡特,2,4,kǎtè
值,值,1,3,zhí
安德烈,安德烈,3,7,āndéliè
騎士,騎士,2,5,qíshì
坐牢,坐牢,2,6,zuòláo
按進,按進,2,5,ànjìn
休假,休假,2,6,xiūjià
蒙特利爾,蒙特利爾,4,10,méngtèlìěr
電視台,電視台,3,10,diànshìtái
嘉賓,嘉賓,2,6,jiābīn
衛冕,衛冕,2,7,wèimiǎn
頭號,頭號,2,6,tóuhào
种子,种子,2,7,zhǒngzi
選手,選手,2,8,xuǎnshǒu
莎拉,莎拉,2,5,shālā
埃拉尼,埃拉尼,3,6,āilāní
失敗,失敗,2,6,shībài
布沙爾,布沙爾,3,7,bùshāěr
連輸,連輸,2,7,liánshū
西西莉,西西莉,3,6,xīxīlì
安吉爾,安吉爾,3,6,ānjíěr
床墊,床墊,2,10,chuángdiàn
金雀花,金雀花,3,9,jīnquèhuā
愛德華,愛德華,3,7,àidéhuá
客廳,客廳,2,6,kètīng
於是,於是,2,5,yúshì
岡特,岡特,2,6,gāngtè
段,段,1,4,duàn
伊朗,伊朗,2,6,yīlǎng
人質,人質,2,6,rénzhì
發酵,發酵,2,6,fājiào
薩奇布,薩奇布,3,6,sàqíbù
史蒂芬,史蒂芬,3,8,shǐdìfēn
欽佩,欽佩,2,6,qīnpèi
文獻,文獻,2,7,wénxiàn
大衛,大衛,2,5,dàwèi
加姆遜,加姆遜,3,8,jiāmǔxùn
寫歌,寫歌,2,5,xiěgē
動物園,動物園,3,10,dòngwùyuán
錄音室,錄音室,3,8,lùyīnshì
輪到,輪到,2,6,lúndào
擴充,擴充,2,8,kuòchōng
多塞特郡,多塞特郡,4,11,duōsāitèjùn
普爾市,普爾市,3,7,pǔěrshì
薩默塞特郡,薩默塞特郡,5,12,sàmòsāitèjùn
威爾斯市,威爾斯市,4,10,wēiěrsīshì
種群,種群,2,8,zhǒngqún
埃德加,埃德加,3,7,āidéjiā
漫畫家,漫畫家,3,9,mànhuàjiā
畫冊,畫冊,2,5,huàcè
新生代,新生代,3,11,xīnshēngdài
加斯,加斯,2,5,jiāsī
納什維爾,納什維爾,4,11,nàshénwéiěr
田納西州,田納西州,4,12,tiánnàxīzhōu
搬往,搬往,2,7,bānwǎng
拯救,拯救,2,8,zhěngjiù
眾,眾,1,5,zhòng
沃爾卡,沃爾卡,3,6,wòěrkǎ
遠遠,遠遠,2,8,yuǎnyuǎn
低,低,1,2,dī
佔絕,佔絕,2,7,zhànjué
出院,出院,2,7,chūyuàn
暗殺,暗殺,2,5,ànshā
倖存,倖存,2,7,xìngcún
上帝,上帝,2,7,shàngdì
布洛克,布洛克,3,7,bùluòkè
潘,潘,1,3,pān
堅定,堅定,2,8,jiāndìng
才是,才是,2,6,cáishì
馬克思,馬克思,3,6,mǎkèsī
根植,根植,2,6,gēnzhí
神秘,神秘,2,6,shénmì
人文,人文,2,6,rénwén
內涵,內涵,2,6,nèihán
神學,神學,2,7,shénxué
歌,歌,1,2,gē
鐳學,鐳學,2,6,léixué
這麼,這麼,2,5,zhème
薩諾斯,薩諾斯,3,7,sànuòsī
伊雲,伊雲,2,5,yīyún
姬絲汀,姬絲汀,3,8,jīsītīng
史葛,史葛,2,5,shǐgé
湯瑪絲,湯瑪絲,3,8,tāngmǎsī
效應,效應,2,8,xiàoyīng
布偶,布偶,2,4,bùǒu
大電影,大電影,3,10,dàdiànyǐng
小妹,小妹,2,7,xiǎomèi
服務員,服務員,3,8,fúwùyuán
婚約,婚約,2,6,hūnyuē
上百,上百,2,8,shàngbǎi
斯托勒,斯托勒,3,8,sītuōlēi
傑森,傑森,2,6,jiésēn
約翰遜,約翰遜,3,9,yuēhànxùn
時兇,時兇,2,8,shíxiōng
獵殺,獵殺,2,6,lièshā
布魯斯,布魯斯,3,6,bùlǔsī
威利斯,威利斯,3,7,wēilìsī
喬瑟夫,喬瑟夫,3,8,qiáosèfū
高登,高登,2,7,gāodēng
新投資,新投資,3,8,xīntóuzī
該片,該片,2,7,gāipiàn
麥葵格,麥葵格,3,8,màikuígé
霍爾斯道姆,霍爾斯道姆,5,12,huòěrsīdàomǔ
認可,認可,2,5,rènkě
萊塞,萊塞,2,6,láisāi
主角,主角,2,6,zhǔjué
漫威,漫威,2,6,mànwēi
新皇家,新皇家,3,11,xīnhuángjiā
星際,星際,2,6,xīngjì
遨遊,遨遊,2,5,áoyóu
造船,造船,2,8,zàochuán
德川,德川,2,7,déchuān
家康,家康,2,7,jiākāng
直系,直系,2,5,zhíxì
後代,後代,2,6,hòudài
舉重,舉重,2,7,jǔzhòng
生前,生前,2,9,shēngqián
克萊德,克萊德,3,7,kèláidé
伊夫,伊夫,2,4,yīfū
羅蘭,羅蘭,2,6,luólán
香水,香水,2,9,xiāngshuǐ
代言人,代言人,3,9,dàiyánrén
保全,保全,2,7,bǎoquán
喜劇,喜劇,2,4,xǐjù
魚躍,魚躍,2,5,yúyuè
奇緣,奇緣,2,6,qíyuán
上映,上映,2,9,shàngyìng
幸福,幸福,2,6,xìngfú
阿拉伯人,阿拉伯人,4,8,ālābórén
典型,典型,2,8,diǎnxíng
莫,莫,1,2,mò
墨,墨,1,2,mò
街上,街上,2,8,jiēshàng
閒逛,閒逛,2,9,xiánguàng
酒吧,酒吧,2,5,jiǔbā
唱歌,唱歌,2,7,chànggē
史密斯,史密斯,3,7,shǐmìsī
法倫,法倫,2,5,fǎlún
雲雀,雲雀,2,6,yúnquè
邁爾,邁爾,2,5,màiěr
致信,致信,2,6,zhìxìn
伊雷娜,伊雷娜,3,7,yīléinà
音箱,音箱,2,8,yīnxiāng
解僱,解僱,2,5,jiěgù
奧斯本,奧斯本,3,7,àosīběn
漢斯,漢斯,2,5,hànsī
佩特森,佩特森,3,8,pèitèsēn
雅茲迪,雅茲迪,3,6,yǎzīdí
製備,製備,2,6,zhìbèi
釙源,釙源,2,6,pòyuán
射線,射線,2,7,shèxiàn
皮雅芙,皮雅芙,3,6,píyǎfú
房間,房間,2,8,fángjiān
呆,呆,1,3,dāi
根,根,1,3,gēn
申克,申克,2,6,shēnkè
塔爾梅奇,塔爾梅奇,4,9,tǎěrméiqí
羅密歐,羅密歐,3,7,luómìōu
茱麗葉,茱麗葉,3,7,zhūlìyè
演,演,1,3,yǎn
對手戲,對手戲,3,9,duìshǒuxì
樞密院,樞密院,3,9,shūmìyuàn
議長,議長,2,7,yìzhǎng
哈利法克斯,哈利法克斯,5,10,hālìfǎkèsī
希特勒,希特勒,3,7,xītèlēi
瑪塞爾,瑪塞爾,3,7,mǎsāiěr
伯倫,伯倫,2,5,bólún
內閣,內閣,2,5,nèigé
發言,發言,2,5,fāyán
歸咎,歸咎,2,6,guījiù
捷克,捷克,2,5,jiékè
槍殺,槍殺,2,8,qiāngshā
蘇台德,蘇台德,3,7,sūtáidé
捷克斯洛伐克,捷克斯洛伐克,6,14,jiékèsīluòfákè
切斷,切斷,2,7,qièduàn
華為,華為,2,6,huáwèi
蘇比安托,蘇比安托,4,9,sūbǐāntuō
等級,等級,2,6,děngjí
回顧,回顧,2,5,huígù
東南,東南,2,7,dōngnán
種植,種植,2,8,zhǒngzhí
度,度,1,2,dù
傳,傳,1,5,chuán
皮毛,皮毛,2,5,pímáo
糞便,糞便,2,7,fènbiàn
蘇格蘭人,蘇格蘭人,4,10,sūgélánrén
瓦特,瓦特,2,4,wǎtè
原理,原理,2,6,yuánlǐ
貢獻,貢獻,2,8,gòngxiàn
機器,機器,2,4,jīqì
金屬,金屬,2,6,jīnshǔ
美塞尼亞,美塞尼亞,4,10,měisāiníyà
伯羅奔尼撒,伯羅奔尼撒,5,12,bóluóbēnnísā
評選,評選,2,8,píngxuǎn
慶賀,慶賀,2,6,qìnghè
評,評,1,4,píng
影響力,影響力,3,11,yǐngxiǎnglì
緊湊,緊湊,2,6,jǐncòu
漫步,漫步,2,5,mànbù
大獲,大獲,2,5,dàhuò
激勵,激勵,2,4,jīlì
最早,最早,2,6,zuìzǎo
粉芭蕉,粉芭蕉,3,9,fěnbājiāo
香蕉,香蕉,2,9,xiāngjiāo
養育,養育,2,6,yǎngyù
高含量,高含量,3,11,gāohánliàng
隕石,隕石,2,6,yǔnshí
文藝,文藝,2,5,wényì
古代,古代,2,5,gǔdài
恐龍,恐龍,2,8,kǒnglóng
陶冶,陶冶,2,5,táoyě
情操,情操,2,7,qíngcāo
加深,加深,2,7,jiāshēn
物種,物種,2,7,wùzhǒng
婦女,婦女,2,4,fùnǚ
埋葬,埋葬,2,7,máizàng
字母,字母,2,4,zìmǔ
陪葬品,陪葬品,3,10,péizàngpǐn
新限制,新限制,3,10,xīnxiànzhì
四十,四十,2,5,sìshí
戶,戶,1,2,hù
人家,人家,2,6,rénjiā
耕地,耕地,2,6,gēngdì
牧場,牧場,2,7,mùchǎng
西西里島,西西里島,4,9,xīxīlǐdǎo
皮特庫賽,皮特庫賽,4,9,pítèkùsài
庫邁,庫邁,2,5,kùmài
通用,通用,2,8,tōngyòng
習俗,習俗,2,4,xísú
近代,近代,2,6,jìndài
消滅,消滅,2,7,xiāomiè
騎兵,騎兵,2,6,qíbīng
劍術,劍術,2,7,jiànshù
朝著,朝著,2,7,cháozhù
錢德勒,錢德勒,3,9,qiándélēi
威勒,威勒,2,6,wēilēi
重騎兵,重騎兵,3,11,zhòngqíbīng
索爾海姆,索爾海姆,4,10,suǒěrhǎimǔ
有生,有生,2,8,yǒushēng
埃里克,埃里克,3,6,āilǐkè
負責人,負責人,3,7,fùzérén
常染色,常染色,3,10,chángrǎnsè
機動性,機動性,3,10,jīdòngxìng
體,體,1,2,tǐ
基因,基因,2,5,jīyīn
祖先,祖先,2,6,zǔxiān
取決,取決,2,5,qǔjué
定義,定義,2,6,dìngyì
規劃署,規劃署,3,9,guīhuàshǔ
創造,創造,2,9,chuàngzào
湖,湖,1,2,hú
林,林,1,3,lín
則徐,則徐,2,4,zéxú
多樣性,多樣性,3,11,duōyàngxìng
方向,方向,2,9,fāngxiàng
稍微,稍微,2,7,shāowēi
減緩,減緩,2,8,jiǎnhuǎn
氫氟碳化合物,氫氟碳化合物,6,16,qīngfútànhuàhéwù
姓,姓,1,4,xìng
皇室,皇室,2,8,huángshì
直呼,直呼,2,5,zhíhū
顯得,顯得,2,6,xiǎndé
禮貌,禮貌,2,5,lǐmào
修正案,修正案,3,10,xiūzhèngàn
基加利,基加利,3,7,jījiālì
習慣,習慣,2,6,xíguàn
紀元,紀元,2,6,jìyuán
朝代,朝代,2,7,cháodài
防禦,防禦,2,6,fángyù
諡號,諡號,2,6,shìhào
昭和,昭和,2,6,zhāohé
在世,在世,2,6,zàishì
亞太,亞太,2,5,yàtài
一千萬,一千萬,3,9,yīqiānwàn
七百五十萬,七百五十萬,5,13,qībǎiwǔshíwàn
同盟國,同盟國,3,11,tóngméngguó
格局,格局,2,4,géjú
戰,戰,1,4,zhàn
靜態,靜態,2,7,jìngtài
募集,募集,2,4,mùjí
銥,銥,1,2,yī
菲律賓,菲律賓,3,8,fēilǜbīn
槌,槌,1,4,chuí
段落,段落,2,7,duànluò
化學浴,化學浴,3,8,huàxuéyù
毛髮,毛髮,2,5,máofà
道明會,道明會,3,10,dàomínghuì
海因里希,海因里希,4,10,hǎiyīnlǐxī
克雷默,克雷默,3,7,kèléimò
薩爾茲堡,薩爾茲堡,4,9,sàěrzībǎo
大主教,大主教,3,9,dàzhǔjiào
裁判所,裁判所,3,9,cáipànsuǒ
教徒,教徒,2,6,jiàotú
部位,部位,2,5,bùwèi
徹,徹,1,3,chè
有悖,有悖,2,6,yǒubèi
教義,教義,2,6,jiàoyì
發來,發來,2,5,fālái
驅逐,驅逐,2,5,qūzhú
塞法迪,塞法迪,3,7,sāifǎdí
老師們,老師們,3,9,lǎoshīmen
西班牙裔,西班牙裔,4,9,xībānyáyì
葡萄牙,葡萄牙,3,7,pútáoyá
收集,收集,2,6,shōují
奈斯托斯河,奈斯托斯河,5,12,nàisītuōsīhé
本書,本書,2,6,běnshū
戰線,戰線,2,8,zhànxiàn
麥斯塔河,麥斯塔河,4,9,màisītǎhé
憤懣,憤懣,2,6,fènmèn
今晚,今晚,2,6,jīnwǎn
帖子,帖子,2,5,tiězǐ
指標,指標,2,7,zhǐbiāo
換,換,1,4,huàn
參戰者,參戰者,3,10,cānzhànzhě
頭髮,頭髮,2,5,tóufà
薪資,薪資,2,5,xīnzī
縱觀,縱觀,2,8,zòngguān
抱怨,抱怨,2,7,bàoyuàn
起因,起因,2,5,qǐyīn
中東,中東,2,9,zhōngdōng
暴亂,暴亂,2,7,bàoluàn
化解,化解,2,6,huàjiě
塔爾羅,塔爾羅,3,7,tǎěrluó
角質層,角質層,3,11,jiǎozhìcéng
緊張,緊張,2,8,jǐnzhāng
和諧,和諧,2,5,héxié
阿拉伯,阿拉伯,3,5,ālābó
起義,起義,2,4,qǐyì
扭轉,扭轉,2,8,niǔzhuǎn
底,底,1,2,dǐ
叫,叫,1,4,jiào
包圍,包圍,2,6,bāowéi
關島,關島,2,7,guāndǎo
剛剛,剛剛,2,8,gānggāng
願景,願景,2,8,yuànjǐng
視而不見,視而不見,4,11,shìérbùjiàn
匯集,匯集,2,5,huìjí
存儲,存儲,2,6,cúnchǔ
